account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-tb,GR,kadam,0.4572,1.4000,5992324,-0.9428,-67.34,215.6517,-5649.3876,USD,USD,USD
propush-tb,BR,adsterra,0.4002,1.1576,7465110,-0.7574,-65.43,2659.6756,-5654.0958,USD,USD,USD
clickadu-pub-nsd,ZA,adsterra,0.4327,2.4861,2753644,-2.0535,-82.60,5.3547,-5654.5197,USD,USD,USD
propush-constructor,SY,kadam,0.1454,0.5000,15982883,-0.3546,-70.92,23.9069,-5667.4816,USD,USD,USD
onclicka-sv,SG,inhouseads,0.1219,0.5250,14072784,-0.4031,-76.78,0.9228,-5672.4564,USD,USD,USD
propush-constructor,BD,monetizer,0.5043,3.8054,1718400,-3.3011,-86.75,447.5773,-5672.6132,USD,USD,USD
propush-nsd,BR,adsterra,0.3977,1.1576,7465110,-0.7599,-65.65,2769.3651,-5673.0155,USD,USD,USD
clickadilla-sv,CO,inhouseads,0.0686,0.3150,23042512,-0.2464,-78.23,0.3510,-5678.1386,USD,USD,USD
sv,MZ,kadam,0.8200,2.9000,2730959,-2.0800,-71.72,7.9000,-5680.3947,USD,USD,USD
sv,SY,inhouseads,0.1300,0.5250,14384594,-0.3950,-75.24,2.5600,-5681.9146,USD,USD,USD
mybid-pub-sv,GB,galaksion,0.2426,1.3400,5207877,-1.0974,-81.90,16.6034,-5715.1895,USD,USD,USD
clickadu-pub-nsd,CN,clickadu,0.1998,1.4024,4765827,-1.2026,-85.75,3.3988,-5731.4699,USD,USD,USD
onclicka-sv,TW,clickadu,0.2503,2.8497,2208366,-2.5994,-91.22,16.4263,-5740.4061,USD,USD,USD
propush-constructor,GB,adsterra,2.2984,5.1975,1980557,-2.8991,-55.78,71.2639,-5741.9147,USD,USD,USD
propush-tb,TJ,kadam,0.9996,2.7000,3376962,-1.7004,-62.98,30.8709,-5742.2666,USD,USD,USD
sv,ZA,adsterra,0.4000,2.4861,2753644,-2.0861,-83.91,5.6800,-5744.4759,USD,USD,USD
propush-constructor,ET,kadam,0.4490,1.1000,8825027,-0.6510,-59.18,60.7797,-5744.7448,USD,USD,USD
propush-constructor,GR,kadam,0.4411,1.4000,5992324,-0.9589,-68.50,7.4447,-5746.2619,USD,USD,USD
sv2,PE,kadam,0.2700,0.6000,17422371,-0.3300,-55.00,9.4900,-5749.3824,USD,USD,USD
